concept_index,concept,target_class,dice_spleen,dice_right_kidney,dice_left_kidney,dice_gallbladder,dice_liver,dice_stomach,dice_aorta,dice_inferior_vena_cava,dice_duodenum,dice_pancreas,dice_esophagus
10,right-sided reniform retroperitoneal organ,right_kidney,7.305171100816094e-13,0.8770392320426937,1.1197648460885465e-12,5.788038140411031e-06,0.00027798263274823155,7.366248095850364e-13,1.4739302691840385e-12,1.866501142666795e-12,6.462192639330264e-06,1.3311162839752135e-12,2.2044852290251397e-12
11,right renal cortex with central renal sinus,right_kidney,7.439720634747702e-13,0.8472573048248951,1.1533113604618498e-12,1.8996973382171044e-12,4.19818540340575e-06,7.532341880786101e-13,1.5313540136635156e-12,1.9656556201131052e-12,1.7293499900707193e-12,1.3762343856527015e-12,2.3423682705720194e-12
12,right renal fossa,right_kidney,7.196112847012331e-13,0.9259692860886164,1.1020520508641748e-12,3.875028275174242e-06,0.00015571622440878306,7.262618154931399e-13,1.4333411750998056e-12,1.8063447709870509e-12,1.0240018050512013e-05,1.2970788678449296e-12,2.1319446453748254e-12
13,right posterior pararenal region,right_kidney,1.244397661744985e-12,0.0004601191647102364,8.666117560213977e-12,0.026315789484648862,2.055140043758203e-13,1.1585054357568256e-12,4.465358283625766e-12,1.0760175828208776e-11,6.1745300241725035e-12,3.2692039986319605e-12,3.6609485317288334e-11
14,caudal to the right hepatic lobe,right_kidney,1.2345217347673425e-12,2.2755300687113123e-12,3.610621771694898e-12,2.843987228214854e-05,0.003195611850819239,1.1454774690555647e-12,4.356804904066221e-12,1.0156537693741765e-11,5.931339298738914e-12,3.1799775054161914e-12,3.0213838203151956e-11
15,right kidney is positioned in the right posterior retroperitoneum adjacent to the psoas muscle,right_kidney,8.238115331915991e-13,0.6390751557851302,1.2581898929990556e-12,2.3596331729610054e-12,2.9689796988870804e-05,8.237197868724423e-13,1.845815119388421e-12,2.449166412159753e-12,0.00039029549390666153,1.5889170136177015e-12,2.9974224517071564e-12
16,left kidney,left_kidney,0.007984955367159928,1.0492405867607496e-12,0.9121988425291934,1.6350465825036403e-12,1.856506061485155e-13,7.031399922809127e-13,1.3543945896186186e-12,1.6762378820397726e-12,1.494358738927498e-12,1.2323274569153194e-12,1.8975430931483723e-12
17,left renal parenchyma,left_kidney,0.008327052328665333,1.0522387657162883e-12,0.9113178548033453,1.6421237217951923e-12,1.857544849295541e-13,7.048052657665173e-13,1.3597540839943198e-12,1.6844746424927404e-12,1.5013766206503276e-12,1.2371048961653951e-12,1.9076362869954324e-12
18,left-sided bean-shaped retroperitoneal organ,left_kidney,0.000593084298770036,1.1744049047379855e-12,0.8408115589627011,2.0881057406490403e-12,1.8958964197965173e-13,7.603254005762151e-13,1.6004307882395685e-12,2.0815722602314237e-12,1.8046663017644022e-12,1.4448964412801794e-12,2.509503512520516e-12
19,left renal cortex surrounding the collecting sinus,left_kidney,0.0013292332848494307,1.1894451555268929e-12,0.8389663147541968,1.949274829792672e-12,1.8803062819376668e-13,7.405038236492706e-13,1.5004809271608349e-12,1.923548422924955e-12,1.6786304783623902e-12,1.3441117929028372e-12,2.316522568322472e-12
20,left renal fossa,left_kidney,0.002240813754431586,1.0906132068694946e-12,0.8952603187556839,1.763462218841095e-12,1.8675095117812908e-13,7.199377619778828e-13,1.4189540910195389e-12,1.7849387134981803e-12,1.5762532229999955e-12,1.2826078601803526e-12,2.061768246347703e-12
21,left posterior pararenal region,left_kidney,1.238901412950512e-12,6.032373335250309e-11,0.00832733097552454,0.026315789484296342,2.053936992787213e-13,1.1518632630210478e-12,4.3640911067081654e-12,1.041890373863477e-11,6.065888353330037e-12,3.245625003879995e-12,3.07621004433638e-11
22,posteroinferior to the spleen,left_kidney,0.09795277635502678,2.2019449288930014e-12,0.0004992593244229325,8.6692935001916e-12,2.0358407702525907e-13,1.6589370910910482e-05,3.754092454470401e-12,7.529131262889225e-12,4.8393443664931574e-12,2.8486407033523407e-12,1.4810386617366465e-11
23,left kidney is positioned in the left posterior retroperitoneum near the splenic hilum,left_kidney,0.03361628101931624,1.285476858703938e-12,0.6522017554432481,2.6047802510346433e-12,1.9322699408571303e-13,8.342450768599134e-13,1.916148030873593e-12,2.5908527734784954e-12,2.237208722097818e-12,1.7154414550136237e-12,3.3759173874372802e-12
24,gallbladder,gallbladder,1.0774442591172446e-12,1.6718258058397412e-12,1.8176131576418257e-12,0.7169847038295171,0.002001208365948137,0.0016570426623137484,3.138401452403779e-12,5.879828283770365e-12,0.001087877881264647,2.5386780854615757e-12,9.910924414573636e-12
25,cystic biliary reservoir,gallbladder,1.0865291463260445e-12,1.7260058834377448e-12,1.902044380560831e-12,0.6633343470332054,0.001391325475609019,0.0010403484936336634,3.232913318044451e-12,6.111304905862341e-12,0.0013249390281635683,2.5958910295820902e-12,1.1061679001791505e-11
26,thin-walled pear-shaped fluid structure,gallbladder,1.2445424222509951e-12,0.026315789475536613,2.6506222168696484e-10,0.026315789484707655,2.055189702265157e-13,1.1586405881389624e-12,4.467208396529776e-12,1.0771796569030568e-11,6.17833340539346e-12,3.2703650822786957e-12,3.6696649250535415e-11
27,hypodense intraluminal bile-containing sac,gallbladder,1.1190118451439992e-12,1.845794028321344e-12,2.1800230106251527e-12,0.537561950720792,0.0005807089412046161,0.00011907381055174126,3.4917632580426734e-12,7.016110408186642e-12,0.0007042750488492982,2.7523844862716996e-12,1.3745032448941903e-11
28,gallbladder fossa,gallbladder,1.0844992315810193e-12,1.7020986189102073e-12,1.9102927339319854e-12,0.6904390490683667,0.0015858638813093483,0.0018604104858238619,3.19261863595833e-12,6.04313793199507e-12,0.0009818753581911147,2.573597626943983e-12,1.0393251367077385e-11
29,inferior hepatic surface,gallbladder,3.679415461189995e-13,9.363473680206113e-05,4.4185511500237797e-13,0.018795005813241276,0.5053102587697689,0.0032718382334016834,5.096212188750031e-13,5.490975589794092e-13,0.00032482000869507127,1.3684155241415639e-06,5.708947232144689e-13
30,adjacent to hepatic segment IVb and segment V,gallbladder,1.1625414545147924e-12,2.0011681532322585e-12,2.1114233437687788e-12,0.05286380067402392,0.017898952941373975,1.761200505109943e-05,3.4633019238520267e-12,6.816424360026974e-12,0.0004399681403146417,2.674688698127935e-06,1.3398755802572384e-11
31,gallbladder lies along the undersurface of the liver near the porta hepatis,gallbladder,1.094211914032861e-12,1.7199149311432728e-12,1.961208959692422e-12,0.6614562144274465,0.0019065579646408506,0.0012745401152893909,3.2520356643099417e-12,6.225827895912063e-12,0.0008436404264220857,2.6169451704317845e-12,1.1086864029298716e-11
32,liver,liver,4.412261763689941e-05,0.00019583451630108292,1.9841212766068647e-13,0.01069424782793072,0.9452011489069209,0.004057984151045735,2.114460776906308e-13,0.001644334863276973,0.00030433633753018126,1.9560109889161708e-06,4.136010861549727e-05
33,hepatic parenchyma,liver,4.597358846674107e-05,0.00019449886564733426,1.9887650988281828e-13,0.007273778786441549,0.9449183921432879,0.0036229579434243495,2.1196883920760816e-13,0.0017788757832678532,0.00032946466334672414,2.3252652774994137e-06,3.775685423689191e-05
34,large right-dominant solid visceral organ,liver,1.2428356217586044e-12,0.00011500955303512848,8.694320728578542e-12,0.02685850884350141,0.00040835507382105187,1.1567031051080908e-12,4.4452640757514325e-12,1.0635715992866807e-11,6.129479833931408e-12,3.252451307758628e-12,3.580176571732954e-11
35,homogeneous hepatic attenuation structure,liver,3.4314449773799285e-06,4.79627532690324e-05,2.184181526757886e-13,0.0009898187480506116,0.8947510421352046,0.0015002325748164924,2.3432709863079583e-13,0.0008626252718768119,8.789145756903847e-05,2.714237892938708e-06,1.5048956926206988e-05
36,right hypochondrial region,liver,1.1728118951967393e-12,1.83130436891922e-12,2.0557172984262506e-12,0.01911747687524554,0.017784735078165977,1.1309193775530699e-06,3.954238955750697e-12,9.042124911751801e-12,4.624111711389914e-06,3.030930542072631e-12,2.0276944557139892e-11
37,right subdiaphragmatic compartment,liver,1.2445423929724488e-12,0.026315789475536606,2.6506222053539904e-10,0.02631578948470765,2.055189676938812e-13,1.1586404783054087e-12,4.467205941343674e-12,1.0771793969478128e-11,6.178327401970808e-12,3.2703645395354597e-12,3.6696634427187426e-11
38,cranial to the gallbladder and right kidney,liver,1.2431260757626445e-12,0.026315789475533712,2.6505894580722433e-10,0.05661791565544574,3.0405996083457762e-05,1.1572520166862303e-12,4.450347795930311e-12,1.0667768341533173e-11,6.140349627126734e-12,3.2630635583816273e-12,3.418751129053979e-11
39,liver occupies the right upper abdomen and extends into the epigastrium,liver,2.6161456054644677e-13,2.1081958450251315e-06,3.015570043061515e-13,0.00793493674697259,0.7295302529603972,0.0004766353863483631,3.3379040579275806e-13,0.00017243130334707843,4.80388757790505e-05,3.246550807445806e-13,3.582454836363129e-13
40,stomach,stomach,0.0035583582940108163,8.267988544070116e-13,8.15444745653381e-13,8.651925712779946e-06,0.005397721259096051,0.7743076980210188,1.1205358544503563e-12,1.3287418542533654e-12,0.0017274208697104834,0.011062560705673394,0.0005874374926049055
41,gastric lumen,stomach,0.0018343107393759609,9.001172195978298e-13,8.884162205412171e-13,5.103125414361172e-06,0.0025592226877483963,0.7255947798028723,1.2555002903624242e-12,1.526059914485168e-12,0.0015157749916821595,0.010466300722046532,0.00022141931801446734
42,hollow foregut organ with variable distension,stomach,8.864789036821867e-13,1.3042747876901433e-12,1.292459940461217e-12,0.0011215557974045315,0.00010600016782190786,0.4202749221374922,1.9795344821698484e-12,2.9806524049277342e-12,0.0015162906931746455,0.0028852197131154396,6.307954721614442e-05
43,air-fluid containing gastric cavity,stomach,0.0016086599515574825,8.95708337904498e-13,8.848886528727087e-13,1.4648490652020386e-12,0.003473992687802985,0.7229163791361441,1.2429772797233534e-12,1.506103127546678e-12,0.0018349003722104153,0.010739146640587038,0.0003886187201741062
44,epigastric region,stomach,2.3730018167172355e-06,1.259091607110104e-12,1.2410358456790778e-12,2.747729752212853e-12,0.0004757752466389402,0.4524464977940208,1.9188689569961422e-12,2.778346844272467e-12,0.0007308428217521519,0.0017149622427791817,0.00019926760199868743
45,left upper intraperitoneal space,stomach,4.355008496418383e-07,0.026315789475535988,2.6506118023764227e-10,0.026315789484705726,2.0551548422825878e-13,1.1585144879153182e-12,4.464833966730362e-12,1.0767797779692133e-11,6.1727004830613626e-12,3.269739424585965e-12,3.666478276166612e-11
46,medial to the spleen and ventral to the pancreas,stomach,1.1938953967346467e-12,2.160599414551502e-12,2.0581592531691714e-12,1.2723253788846941e-11,2.045230594896701e-13,0.000638409958906781,4.035760502334432e-12,8.877073487941379e-12,5.497108900327765e-12,0.11957636959515186,1.8485368752437436e-11
47,stomach is seen below the left hemidiaphragm anterior to the pancreatic body,stomach,2.3211281833540082e-05,1.7459442915785875e-12,1.7676123789096986e-12,9.32596472883339e-12,6.474421743551153e-05,0.11108441961088529,3.5234247091613466e-12,6.9570557824851915e-12,0.00036944905350167053,0.050253274976148184,1.3082466510262617e-11
48,aorta,aorta,8.958164407671316e-13,1.2990272377303011e-12,1.2920252654124201e-12,2.828753981095851e-12,1.9523738607317594e-13,1.547760092532019e-05,0.9296780749632233,2.8835758767656697e-12,3.076196766932014e-05,1.7862096273647156e-12,0.0031611825495653396
49,abdominal aorta,aorta,9.257493180503645e-13,1.3774902244550622e-12,1.392960584190738e-12,3.4429665533147375e-12,1.9649783267076422e-13,9.08648227579309e-13,0.8318757208997488,3.274363769322946e-12,0.0001860585625306851,1.905796003866309e-12,3.4948330313532804e-05
50,thick-walled pulsatile arterial lumen,aorta,9.104766642937022e-13,1.32748970381844e-12,1.3221685017902775e-12,2.9630596130186874e-12,1.9586004856929618e-13,5.8892222847264005e-06,0.9244492496366303,3.020614333815811e-12,0.00023708157844284347,0.002276553573401852,0.0027347917637429737
51,round prevertebral arterial structure,aorta,1.2445424222509951e-12,0.026315789475536613,2.6506222168696484e-10,0.026315789484707655,2.055189702265157e-13,1.1586405881389624e-12,4.467208396529776e-12,1.0771796569030568e-11,6.17833340539346e-12,3.2703650822786957e-12,3.6696649250535415e-11
52,left para-aortic compartment,aorta,1.2445424222509951e-12,0.026315789475536613,2.6506222168696484e-10,0.026315789484707655,2.055189702265157e-13,1.1586405881389624e-12,4.467208396529776e-12,1.0771796569030568e-11,6.17833340539346e-12,3.2703650822786957e-12,3.6696649250535415e-11
53,anterior vertebral body margin,aorta,1.2445424222509951e-12,0.026315789475536613,2.6506222168696484e-10,0.026315789484707655,2.055189702265157e-13,1.1586405881389624e-12,4.467208396529776e-12,1.0771796569030568e-11,6.17833340539346e-12,3.2703650822786957e-12,3.6696649250535415e-11
54,left of the inferior vena cava,aorta,1.2179896795010219e-12,2.184273914084908e-12,2.099330740773119e-12,1.3410557803908938e-11,0.0002088487054855287,1.1387064429180244e-12,4.125551798343494e-12,0.26110228965118415,2.33323413957896e-05,3.1282256041138913e-12,2.0203473978481792e-11
55,abdominal aorta descends anterior to the spine on the left side of midline,aorta,1.235139550614628e-12,4.407071926026614e-12,2.2903139372897964e-12,0.026315789483873895,2.052710204160947e-13,1.1510492218840904e-12,0.07511275888954641,1.0347887381340063e-11,5.99619122346556e-12,3.2196162306223836e-12,3.0629939378219926e-11
56,inferior vena cava,inferior_vena_cava,1.0277854674870121e-12,1.5866625790828364e-12,1.6069685921279725e-12,4.542547990925103e-12,0.00560314762929516,1.0037267483906007e-12,2.850953325907919e-12,0.7467642532362404,0.0032063198598010624,0.000989665767048615,6.54681093329744e-12
57,IVC,inferior_vena_cava,1.028759545840427e-12,1.5885670720666003e-12,1.6091037439479133e-12,4.55670443521025e-12,0.005469457987945382,1.004174174679374e-12,2.8592300883924154e-12,0.7480665698993815,0.003535532943705276,0.0009121876162139145,6.581665815750677e-12
58,thin-walled right-sided venous channel,inferior_vena_cava,1.1373745113408035e-12,1.8395149652074237e-12,1.8356778257199453e-12,7.211988477850032e-12,0.000355876969025787,1.0940863169581102e-12,3.599382530414292e-12,0.5128006468444305,5.789990492849912e-05,2.812368239593357e-12,1.2844343588813516e-11
59,oval paracaval vascular lumen,inferior_vena_cava,1.1879617392869752e-12,1.9901876285793558e-12,2.1645583240450035e-12,8.672013836463585e-12,1.330714257686547e-05,1.1266817568044774e-12,3.960704315673778e-12,0.3419228395232049,9.214067028692389e-05,3.003059789026884e-12,1.7466092341770235e-11
60,right paracaval compartment,inferior_vena_cava,1.2445424222509951e-12,0.026315789475536613,2.6506222168696484e-10,0.026315789484707655,2.055189702265157e-13,1.1586405881389624e-12,4.467208396529776e-12,1.0771796569030568e-11,6.17833340539346e-12,3.2703650822786957e-12,3.6696649250535415e-11
61,retrohepatic caval segment,inferior_vena_cava,1.1994633340830184e-12,2.0258071019816462e-12,2.230620856144078e-12,9.51922703324364e-12,0.000234254113066626,1.1301823311660669e-12,4.029674668916699e-12,0.32804948094036956,5.457658234061785e-12,3.0509211445672518e-12,1.8056123394644938e-11
62,right of the abdominal aorta,inferior_vena_cava,1.2377738435993603e-12,1.688009492152403e-11,2.2771463046070435e-12,1.474240237121191e-11,2.0537770130758336e-13,1.1546672436003694e-12,0.04354938097564395,1.0473319950410888e-11,5.655365714196746e-05,3.243592832365844e-12,3.112168560598707e-11
63,inferior vena cava courses along the right anterolateral aspect of the vertebral column,inferior_vena_cava,1.2036842041012513e-12,1.9001457333030662e-12,1.9411923751041725e-12,9.482430477049502e-12,0.0004284072163517922,1.1277480055931838e-12,3.9920319544573514e-12,0.3848870960329678,1.590494893526736e-05,3.058693544039467e-12,1.8105684700531638e-11
64,duodenum,duodenum,1.0478562377279397e-12,2.9909555739513793e-05,1.5888699295919858e-12,0.0010647615627039672,0.00011861174363813876,0.012008082081480954,0.0001201863041144105,0.00018551204592183568,0.6578204023533588,0.03128775334147393,7.193032016675463e-12
65,duodenal C-loop,duodenum,1.073105562377303e-12,6.893880201292961e-06,1.6408403253565868e-12,0.000779317201989748,8.991830684956145e-05,0.009056330879381354,0.0001024377379758971,5.3142372248001765e-05,0.6270520869622043,0.02324683070351055,8.12720948110452e-12
66,C-shaped proximal small bowel segment,duodenum,1.1083357018523228e-12,4.664561561547819e-06,1.7162171681188631e-12,0.00015671931683151853,2.7183204130380334e-05,0.005010544298956086,9.336957538873153e-05,5.488889002466958e-05,0.5344916850464072,0.011136057227714132,9.65947288934021e-12
67,retroperitoneal enteric loop encircling the pancreatic head,duodenum,1.2428759073352851e-12,2.684373693455892e-12,2.0431498179427052e-10,0.026315789484571455,2.054607011075495e-13,0.00010773998420531419,0.001233101450787126,1.0671636586400487e-11,0.0023541396172455206,0.007067053840280333,3.588572289803994e-11
68,right anterior pararenal compartment,duodenum,1.1986987768094978e-12,0.07487329150214167,7.922975704436846e-11,9.725412889342605e-11,2.04532830078544e-13,1.1246685893405816e-12,4.130507628142354e-12,9.202062912241607e-12,5.299426552956583e-12,3.049027608775358e-12,2.6086522864267148e-11
69,peripancreatic duodenal groove,duodenum,1.2122066146046046e-12,2.6764582710791957e-12,2.3853152301284833e-12,2.32994501441278e-11,2.0451524090646103e-13,9.290786865685152e-05,4.169799353011347e-12,8.870784492443587e-12,0.07484065912714176,0.04170109048479725,2.2512708878511077e-11
70,between the pancreatic head and right renal hilum,duodenum,1.235027677425722e-12,2.6350032628154687e-12,3.512015557240593e-12,1.5293174074128243e-11,2.0522992255048092e-13,1.1463963987273634e-12,0.0013230748984500687,9.98967590047373e-12,0.0009397264701751943,0.0285330255780203,2.9408595706684665e-11
71,duodenum curves around the pancreatic head in the right upper abdomen,duodenum,1.1416638043742785e-12,9.649841144322596e-07,1.818412066674731e-12,0.00043158120305304795,3.922028807288622e-05,0.002959125634680631,4.132118855690484e-06,6.5905669007622284e-12,0.4298491805194617,0.021136568249372812,1.1562163263129634e-11
72,pancreas,pancreas,7.487973736533693e-05,1.2774901726461747e-12,5.948214377427042e-05,2.654703651955306e-12,9.836256328591633e-06,0.0026270345035853326,2.006942777392406e-12,2.989683397654801e-05,0.01770073741408327,0.8094883495285591,3.3315504666213346e-12
73,pancreatic parenchyma,pancreas,4.756199074274312e-05,1.2798441709508876e-12,6.395578430773957e-05,2.6666184383682716e-12,1.2255736653078632e-05,0.002304197063632379,2.0118488419294063e-12,3.544752311107037e-05,0.01719353101445564,0.8116998452675409,3.3503806806894275e-12
74,lobulated transverse retroperitoneal gland,pancreas,1.241178434370037e-12,3.0319489961759073e-12,3.38893832139467e-12,1.241333789352927e-11,2.054584403169342e-13,1.156586551410768e-12,4.4380335278411855e-12,1.0525196969831298e-11,1.1295548313039584e-05,0.01308005125727993,3.4853490290879606e-11
75,elongated soft-tissue organ across the epigastrium,pancreas,0.00018082298819408773,8.93865495225273e-13,8.786873601469411e-13,1.4455003712385766e-12,0.004076751705666971,0.7310137046505969,1.2274224126108743e-12,1.486432070525704e-12,0.000993986009243888,0.00833421205951251,0.002086900281551719
76,anterior pararenal compartment,pancreas,1.2440893143167998e-12,0.0274925836896282,2.65058238864082e-10,0.026315789484664738,2.054777142821392e-13,1.1566859768602166e-12,4.5403740965299255e-05,1.0621043274909438e-11,0.0014330741434659515,8.801270643126372e-06,3.612082928180662e-11
77,retrogastric pancreatic bed,pancreas,1.02574692399294e-12,1.5712595055476078e-12,1.565939889476631e-06,4.20035780976959e-12,1.996439162380804e-13,0.001573419808446466,2.7730520779930858e-12,4.323274462389602e-12,0.0003058678165944676,0.5055068611314364,6.335806358972963e-12
78,from the duodenal C-loop toward the splenic hilum,pancreas,1.1204860330499395e-12,1.829542030391043e-12,1.7738395633695399e-12,0.00036930485897588856,5.199832432309707e-05,0.005975535291204548,3.996026259186406e-05,6.1780367485678886e-12,0.48689670305389465,0.014512983385454417,1.0791484602370654e-11
79,pancreas lies posterior to the stomach and extends transversely toward the spleen,pancreas,0.00026516264377564845,1.471536643992285e-12,4.93786373113251e-05,3.646525589113015e-12,5.102631466678332e-07,0.004219091469672159,2.48594178072837e-12,3.689505840115176e-12,0.00023264621784271797,0.6225225542418898,4.885473229629437e-12
80,esophagus,esophagus,1.1965912642999393e-12,2.0278011128434453e-12,2.7841337442020155e-12,8.479327226807549e-12,7.537965620913174e-05,0.0010151234999967033,8.474652683181287e-07,6.851577860896608e-05,5.321301089820899e-12,3.0063546879366652e-12,0.5150891118021012
81,distal thoracic esophagus,esophagus,1.2439887172285272e-12,0.026315789475535915,2.6506163318189476e-10,0.0263157894846493,2.0551024448031982e-13,1.1581372219125392e-12,4.463283108166715e-12,1.0758974403477686e-11,6.1711102496938205e-12,3.267092506959831e-12,0.009925864089753003
82,small collapsed tubular foregut lumen,esophagus,1.2445388201632354e-12,0.02631578947553657,2.650621522076744e-10,0.02631578948470737,2.0551858760015296e-13,3.963569627292175e-05,4.467095939407315e-12,1.077132882296348e-11,6.177817080727795e-12,3.270313206541624e-12,3.668797435106809e-11
83,thin-walled structure at the esophageal hiatus,esophagus,1.2369141095217394e-12,5.2870531169278986e-12,2.4568021798368626e-11,4.772597983082662e-11,2.0525865771467676e-13,2.9080472299755308e-05,4.3839828746353245e-12,1.0145933449682573e-11,5.995358945302206e-12,3.2004777548133135e-12,0.12057434054664093
84,posterior mediastinal compartment,esophagus,1.2362534748518362e-12,0.026315789475511952,3.283975851724158e-11,0.026315789483911205,2.0517547635269077e-13,1.146298677840188e-12,9.401014800646058e-05,9.998346317400251e-12,5.91451237298743e-12,3.193674796649327e-12,0.0026781441177919337
85,gastroesophageal junction region,esophagus,1.2445424222509951e-12,0.026315789475536613,2.6506222168696484e-10,0.026315789484707655,2.055189702265157e-13,1.1586405881389624e-12,4.467208396529776e-12,1.0771796569030568e-11,6.17833340539346e-12,3.2703650822786957e-12,3.6696649250535415e-11
86,posterior to the left atrium and anterior to the vertebral column,esophagus,1.2445422543877113e-12,0.026315789475536606,2.650622214783317e-10,0.02631578948470765,2.0551896782461557e-13,1.1586404849737806e-12,4.467206961261057e-12,1.0771779811489704e-11,6.178322828448033e-12,3.270363871973532e-12,3.669660467483109e-11
87,distal esophagus enters the abdomen through the diaphragmatic hiatus above the stomach,esophagus,1.2424974119127691e-12,2.7057270376369803e-12,2.6504096574771777e-10,0.026315789484392033,3.5526300249828955e-06,0.0005947231684308669,4.433583307770952e-12,1.0607694208063994e-11,6.104940517136117e-12,3.242657164054126e-12,0.04597687913281638
